Rank;Land;Rating;Average_Rank;Average_Rating;1Year_Change_Rank;1Year_Change_Rating;Matches_Total;Matches_Home;Matches_Away;Matches_Neutral;Wins;Losses;Draws;Goals_For;Goals_Against
54;DR Congo;1661;62;1557;10;84;548;166;225;157;226;171;151;835;641
55;Georgia;1654;70;1553;-15;-64;321;141;148;32;107;146;68;415;444
56;Israel;1647;49;1621;1;30;524;249;213;62;197;207;120;804;764
57;Romania;1639;29;1717;-9;-38;802;333;377;92;355;247;200;1306;1020
58;Bolivia;1633;60;1509;-4;-3;537;189;205;143;122;294;121;551;1056
59;Tunisia;1628;47;1616;-1;15;777;337;253;187;330;231;216;1105;845
60;Iraq;1618;47;1622;19;100;761;139;232;390;360;189;212;1204;708
61;Albania;1616;73;1504;-8;-23;410;192;185;33;116;209;85;396;604
62;Cameroon;1613;53;1605;1;17;661;184;247;230;287;172;202;952;712
63;Costa Rica;1611;36;1689;-11;-42;790;259;282;249;356;243;191;1369;919
64;Northern Ireland;1607;40;1655;8;52;611;276;297;38;172;289;150;644;925
65;Bosnia and Herzegovina;1595;53;1626;11;69;281;118;136;27;104;111;66;394;386
66;North Macedonia;1589;74;1534;-10;-31;305;141;134;30;95;131;79;364;411
67;Mali;1588;70;1523;-5;-13;625;195;234;196;249;206;170;824;718
68;Cape Verde;1578;120;1302;12;67;253;80;91;82;96;97;60;273;278
69;Honduras;1570;63;1500;0;9;668;212;217;239;263;232;173;964;859
70;Saudi Arabia;1569;76;1500;-10;-39;839;324;151;364;397;247;195;1286;896
70;Iceland;1569;81;1425;0;12;526;216;251;59;160;262;104;635;882
72;New Zealand;1562;66;1499;-13;-48;441;135;189;117;181;181;79;767;650
73;Haiti;1548;81;1418;-3;-9;563;181;196;186;247;198;118;962;761
74;United Arab Emirates;1540;98;1395;-1;-4;674;287;141;246;263;238;173;933;831
75;Angola;1537;86;1456;1;11;474;166;184;124;175;140;159;576;490
76;Finland;1536;62;1500;-2;4;825;337;430;58;217;441;167;972;1699
